"מספר מושמים  ברשויות אחרות","מספר מושמים  ברשות הנבחרת","רשות  מסגרת/שלוחה","שם שלוחה","שם מסגרת","סמל מסגרת","תוכנית","סוג מסגרת","סוג סידור","יחידה אחראית","מינהל"
1,0,"נתניה"," ","כפר עידוד מערך דיור",12725,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
0,80,"גוש עציון"," ","תוכנית להב"ה",212861,"להב"ה","מועדון/מרכז קהילתי","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"ירושלים"," ","בית הצייר 1",218057,"מועדונית לילדים","מועדונית","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,12,"גוש עציון"," ","מועדונית תקוע טיפולי",218293,"מועדונית לילדים","מועדונית","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,15,"גוש עציון"," ","מועד' משותפת בת עין",222551,"מועדונית לילדים","מועדונית","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
1,0,"מעלה אדומים"," ","בית חב"ד מעלה אדומים",200267,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,2,"גוש עציון"," ","מעון יום-כפר עציון",200807,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,11,"גוש עציון"," ","מעון יום מיצד",222187,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,1,"גוש עציון"," ","מעון יום נווה דניאל",222188,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,1,"גוש עציון"," ","מעון יום כרמי צור",222190,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,1,"גוש עציון"," ","מעון יום מגדל עוז",222191,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,4,"גוש עציון"," ","מעון יום ראש צורים",222192,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,2,"גוש עציון"," ","מעון יום נוקדים",222193,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,2,"גוש עציון"," ","מעון יום כפר אלדד",222194,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
0,7,"גוש עציון"," ","מעון יום בת עין",222197,"מעון יום","מעון יום","בקהילה","ילד ונוער","מינהל שירותים אישיים וחברתיים"
